# Keep synchronized with keycloak/development-users.tsv.
# email	display name
president@sdcj.co.jp	社長
example.parttime1@sdcj.co.jp	組織図制御 パート
example.contract1@sdcj.co.jp	組織図制御 嘱託
internal-audit-office.head@sdcj.co.jp	内部監査室責任者
internal-audit-office.user@sdcj.co.jp	内部監査室一般
dx-promotion-office.head@sdcj.co.jp	DX推進室責任者
dx-promotion-office.user@sdcj.co.jp	DX推進室一般
management-headquarters.head@sdcj.co.jp	管理本部責任者
management-headquarters.user@sdcj.co.jp	管理本部一般
corporate-management-department.head@sdcj.co.jp	経営管理部責任者
corporate-management-department.user@sdcj.co.jp	経営管理部一般
corporate-planning-section.head@sdcj.co.jp	経営企画課責任者
corporate-planning-section.user@sdcj.co.jp	経営企画課一般
accounting-section.head@sdcj.co.jp	経理課責任者
accounting-section.user@sdcj.co.jp	経理課一般
general-affairs-department.head@sdcj.co.jp	総務部責任者
general-affairs-department.user@sdcj.co.jp	総務部一般
general-affairs-section.head@sdcj.co.jp	総務課責任者
general-affairs-section.user@sdcj.co.jp	総務課一般
human-resources-department.head@sdcj.co.jp	人事部責任者
human-resources-department.user@sdcj.co.jp	人事部一般
human-resources-section.head@sdcj.co.jp	人事課責任者
human-resources-section.user@sdcj.co.jp	人事課一般
information-management-office.head@sdcj.co.jp	情報管理室責任者
information-management-office.user@sdcj.co.jp	情報管理室一般
business-promotion-headquarters.head@sdcj.co.jp	ビジネス推進本部責任者
business-promotion-headquarters.user@sdcj.co.jp	ビジネス推進本部一般
career-promotion-department.head@sdcj.co.jp	キャリアプロモーション部責任者
career-promotion-department.user@sdcj.co.jp	キャリアプロモーション部一般
business-improvement-department.head@sdcj.co.jp	業務改善推進部責任者
business-improvement-department.user@sdcj.co.jp	業務改善推進部一般
business-improvement-section.head@sdcj.co.jp	業務改善推進課責任者
business-improvement-section.user@sdcj.co.jp	業務改善推進課一般
service-business-section.head@sdcj.co.jp	サービスビジネス課責任者
service-business-section.user@sdcj.co.jp	サービスビジネス課一般
first-si-division.head@sdcj.co.jp	第1SI事業部責任者
first-si-division.user@sdcj.co.jp	第1SI事業部一般
first-si-sales-section.head@sdcj.co.jp	第1SI営業課責任者
first-si-sales-section.user@sdcj.co.jp	第1SI営業課一般
first-si-project-1.head@sdcj.co.jp	第1SI仮プロジェクト1責任者
first-si-project-1.user@sdcj.co.jp	第1SI仮プロジェクト1一般
first-si-project-2.head@sdcj.co.jp	第1SI仮プロジェクト2責任者
first-si-project-2.user@sdcj.co.jp	第1SI仮プロジェクト2一般
second-si-division.head@sdcj.co.jp	第2SI事業部責任者
second-si-division.user@sdcj.co.jp	第2SI事業部一般
laboratory-section.head@sdcj.co.jp	ラボラトリー課責任者
laboratory-section.user@sdcj.co.jp	ラボラトリー課一般
second-si-sales-section.head@sdcj.co.jp	第2SI営業課責任者
second-si-sales-section.user@sdcj.co.jp	第2SI営業課一般
second-si-management-section.head@sdcj.co.jp	第2SI管理課責任者
second-si-management-section.user@sdcj.co.jp	第2SI管理課一般
second-si-project-1.head@sdcj.co.jp	第2SI仮プロジェクト1責任者
second-si-project-1.user@sdcj.co.jp	第2SI仮プロジェクト1一般
second-si-project-2.head@sdcj.co.jp	第2SI仮プロジェクト2責任者
second-si-project-2.user@sdcj.co.jp	第2SI仮プロジェクト2一般
system-solution-division.head@sdcj.co.jp	システムソリューション事業部責任者
system-solution-division.user@sdcj.co.jp	システムソリューション事業部一般
system-solution-sales-department.head@sdcj.co.jp	システムソリューション営業部責任者
system-solution-sales-department.user@sdcj.co.jp	システムソリューション営業部一般
system-solution-project-1.head@sdcj.co.jp	システムソリューション仮プロジェクト1責任者
system-solution-project-1.user@sdcj.co.jp	システムソリューション仮プロジェクト1一般
system-solution-project-2.head@sdcj.co.jp	システムソリューション仮プロジェクト2責任者
system-solution-project-2.user@sdcj.co.jp	システムソリューション仮プロジェクト2一般
business-solution-division.head@sdcj.co.jp	業務ソリューション事業部責任者
business-solution-division.user@sdcj.co.jp	業務ソリューション事業部一般
business-solution-sales-section.head@sdcj.co.jp	業務ソリューション営業課責任者
business-solution-sales-section.user@sdcj.co.jp	業務ソリューション営業課一般
business-solution-project-1.head@sdcj.co.jp	業務ソリューション仮プロジェクト1責任者
business-solution-project-1.user@sdcj.co.jp	業務ソリューション仮プロジェクト1一般
business-solution-project-2.head@sdcj.co.jp	業務ソリューション仮プロジェクト2責任者
business-solution-project-2.user@sdcj.co.jp	業務ソリューション仮プロジェクト2一般
